t.day,sp,numbr,small,P.MPa,nomID,stemID,l.mm,d.mm,k.g.s.MPa,r2,K.g.mm.s.MPa,Ks.g.s.MPa.mm,ver,plc,max_type,tlp
233.5632452,PILA,71.1,small,2,PILA 71.1 2 MPa,PILA 71.1,280,5.37,-0.092158972,0.999778668,-25.80451223,-1.139350118,v18,36.66820189,native,
234.4948574,PILA,71.1,small,0,PILA 71.1 0 MPa,PILA 71.1,280,5.37,-0.145517694,0.999882941,-40.74495436,-1.799017479,v18,0,vacuum,
233.5868152,PILA,71.2,small,2,PILA 71.2 2 MPa,PILA 71.2,280,3.88,-0.010766735,0.999999944,-3.014685901,-0.254969796,v18,88.40874849,native,
234.4077152,PILA,71.2,small,0,PILA 71.2 0 MPa,PILA 71.2,280,3.88,-0.092886737,0.987850661,-26.0082865,-2.199674438,v18,0,vacuum,
232.6654587,CADE,1404.1,large,2,CADE 1404.1 2 MPa,CADE 1404.1,27.5,7.58,-0.815053287,0.999422472,-22.41396538,-0.496695705,v18,86.10185866,native,
233.453101,CADE,1404.1,large,0,CADE 1404.1 0 MPa,CADE 1404.1,275,7.58,-0.586447689,0.999472926,-161.2731144,-3.573828272,v18,0,vacuum,
232.6717369,CADE,1404.2,large,2,CADE 1404.2 2 MPa,CADE 1404.2,28,4.05,-0.258410773,0.999555565,-7.235501655,-0.561653823,v18,86.55983542,native,
233.428936,CADE,1404.2,large,0,CADE 1404.2 0 MPa,CADE 1404.2,280,4.05,-0.208214396,0.999941319,-58.30003079,-4.525523832,v18,-8.294081909,vacuum,
234.6776263,CADE,1404.2,large,0,CADE 1404.2 0 MPa,CADE 1404.2,280,4.05,-0.192267566,0.990486082,-53.83491855,-4.178920724,v18,0,vacuum,
240.5046256,CADE,1404.2,large,2,CADE 1404.2 2 MPa,CADE 1404.2,275,4.05,-0.26103792,0.999555565,-71.78542804,-5.57232408,v18,-33.34361781,NA,
232.6809075,CADE,1404.3,large,2,CADE 1404.3 2 MPa,CADE 1404.3,28,4.81,-0.532832621,0.999132682,-14.91931339,-0.821048482,v18,87.14507259,native,
233.443572,CADE,1404.3,large,0,CADE 1404.3 0 MPa,CADE 1404.3,280,4.81,-0.421332974,0.999911476,-117.9732327,-6.492372747,v18,-1.649271896,vacuum,
234.6843545,CADE,1404.3,large,0,CADE 1404.3 0 MPa,CADE 1404.3,280,4.81,-0.414496795,0.999858234,-116.0591026,-6.387033204,v18,0,vacuum,
233.5432256,CADE,1405.1,large,2,CADE 1405.1 2 MPa,CADE 1405.1,280,4.49,-0.052428141,0.969045094,-14.67987939,-0.927128484,v18,2.949792055,native,
234.4437564,CADE,1405.1,large,0,CADE 1405.1 0 MPa,CADE 1405.1,279,4.49,-0.054215294,0.998156253,-15.12606691,-0.955308086,v18,0,vacuum,
240.5340692,CADE,1405.1,large,2,CADE 1405.1 2 MPa,CADE 1405.1,270,4.49,-0.053200897,0.971104838,-14.36424225,-0.907193975,v18,5.036502013,NA,
240.5544768,CADE,1405.1,large,4,CADE 1405.1 4 MPa,CADE 1405.1,270,4.49,-0.056167479,0.99653346,-15.1652194,-0.957780817,v18,-0.258841161,NA,
240.567846,CADE,1405.1,large,5,CADE 1405.1 5 MPa,CADE 1405.1,270,4.49,-0.045516055,0.995353834,-12.28933488,-0.776150274,v18,18.7539302,NA,
240.5831207,CADE,1405.1,large,6,CADE 1405.1 6 MPa,CADE 1405.1,270,4.49,-0.032510495,0.987291048,-8.777833766,-0.55437647,v18,41.96882892,NA,
240.5997686,CADE,1405.1,large,7,CADE 1405.1 7 MPa,CADE 1405.1,270,4.49,-0.016950254,0.999999818,-4.576568598,-0.289039644,v18,69.74382948,NA,
240.6194208,CADE,1405.1,large,8,CADE 1405.1 8 MPa,CADE 1405.1,270,4.49,-0.008941961,0.970125817,-2.414329533,-0.152480386,v18,84.0386166,NA,
233.5180848,CADE,1405.2,large,2,CADE 1405.2 2 MPa,CADE 1405.2,280,3.98,-0.245389352,0.999919693,-68.7090185,-5.522779692,v18,-68.45343016,native,
233.5301305,CADE,1405.2,large,2,CADE 1405.2 2 MPa,CADE 1405.2,280,3.98,-0.151866931,0.999717826,-42.5227406,-3.417946194,v18,-4.252711965,native,
234.4516472,CADE,1405.2,large,0,CADE 1405.2 0 MPa,CADE 1405.2,279,3.98,-0.146194045,0.999750919,-40.78813856,-3.278520174,v18,0,vacuum,
233.5504597,CADE,1405.3,large,2,CADE 1405.3 2 MPa,CADE 1405.3,280,3.01,-0.054669739,0.990117154,-15.30752704,-2.151206804,v18,4.62603678,native,
234.4598972,CADE,1405.3,large,0,CADE 1405.3 0 MPa,CADE 1405.3,279,3.01,-0.057526904,0.995433067,-16.05000624,-2.255549346,v18,0,vacuum,
233.643905,ABCO,1466.1,large,2,ABCO 1466.1 2 MPa,ABCO 1466.1,280,3.12,-0.092645881,1,-25.94084674,-3.393009522,v18,15.13148614,native,
234.4998836,ABCO,1466.1,large,0,ABCO 1466.1 0 MPa,ABCO 1466.1,279,3.12,-0.109555289,0.999224356,-30.56592553,-3.997960337,v18,0,vacuum,
233.6502549,ABCO,1466.2,large,2,ABCO 1466.2 2 MPa,ABCO 1466.2,223,4.14,-0.446873948,0.999925597,-99.65289031,-7.402856583,v18,6.488029431,native,
234.413953,ABCO,1466.2,large,0,ABCO 1466.2 0 MPa,ABCO 1466.2,222,4.14,-0.480031477,0.999707136,-106.5669878,-7.916480144,v18,0,vacuum,
233.6566487,ABCO,1466.3,large,2,ABCO 1466.3 2 MPa,ABCO 1466.3,280,3.22,-0.109230963,0.999796391,-30.58466967,-3.755797509,v18,-3.066962655,native,
234.4184582,ABCO,1466.3,large,0,ABCO 1466.3 0 MPa,ABCO 1466.3,279,3.22,-0.106360437,0.99864572,-29.67456194,-3.644036277,v18,0,vacuum,
