site,species,treat,plant,MWC.g,R2.MWC,SWC.g,OP.FT.MPa,TLP.MPa,R2.TLP,RWC.TLP..,MEL.MPa,CFT.MPa.1,CTLP.MPa.1,CFT.molm.2MPa.1,l.mm,d.mm,k.g.s.MPa,r2,K,Ks,t95,t50,tcrit,stem.dia.mm,stem.ba.mm2,leaf.area.cm2,leaf.weight.g,stem.weight.g,lma.g.cm2,al.as.cm2.mm2,leaf.stem.weight.ratio,mean.leaf.temp.c,max.air.temp.day.c,max.air.temp.season.c
supila,abco,shade,1,,,,,,,,,,,,44.81,2.5,-0.018138189,0.970894507,-0.812772257,-0.165576605,52.3,48.8,44.2,,,,,,,,,24.44285714,28.805,40.60222222
supila,abco,shade,2,0.215,0.99,24.39,-0.926,-1.311,0.88,89.82,8.077,0.083,0.13,1794.387,,,,,,,,,,0.97,0.738981132,5.991,0.0558,0.0262,0.009313971,8.107108208,2.129770992,24.44285714,28.805,40.60222222
supila,abco,shade,3,,,,,,,,,,,,46.1,2.48,-0.018593696,0.998032092,-0.857169402,-0.177448943,54.5,47.3,38.8,,,,,,,,,24.44285714,28.805,40.60222222
supila,abco,shade,4,,,,,,,,,,,,46.79,0.96,-0.011323092,0.95981869,-0.529807463,-0.731957262,54.2,47.3,39,,,,,,,,,24.44285714,28.805,40.60222222
supila,abco,shade,5,0.598,0.99,14.493,-1.369,-1.695,0.95,84.05,8.484,0.093,0.326,1633.241,,,,,,,,,,1.17,1.075131546,17.103,0.1582,0.0488,0.009249839,15.90782083,3.241803279,24.44285714,28.805,40.60222222
supila,abco,shade,6,,,,,,,,,,,,,,,,,,53.6,48.7,42.5,,,,,,,,,24.44285714,28.805,40.60222222
supila,abco,shade,7,,,,,,,,,,,,,,,,,,61.1,50.8,38.7,,,,,,,,,24.44285714,28.805,40.60222222
supila,abco,shade,8,0.391,0.9,8.425,-0.908,-1.401,0.95,87.02,4.915,0.104,0.137,1404.259,,,,,,,,,,1.31,1.347821788,13.467,0.1904,0.047,0.014138264,9.991677029,4.05106383,24.44285714,28.805,40.60222222
supila,abco,shade,9,0.289,0.94,22.745,-0.716,-1.172,0.94,92.54,8.47,0.064,0.064,1393.158,,,,,,,,,,1.22,1.168986626,10.655,0.0974,0.0345,0.009141248,9.114732161,2.823188406,24.44285714,28.805,40.60222222
supila,abco,shade,10,0.372,0.94,16.12,-1.404,-1.748,0.9,90,11.592,0.062,0.159,1378.753,,,,,,,,,,1.48,1.720336137,13.503,0.1445,0.0416,0.010701326,7.849047467,3.473557692,24.44285714,28.805,40.60222222
supila,abco,sun,1,0.9,0.95,2.435,-0.451,-0.967,0.95,89.55,3.329,0.119,0.071,1545.882,,,,,,,,,,2.03,3.236547292,28.955,0.3194,0.0913,0.01103091,8.946261986,3.498357065,30.38,32.45111111,32.45111111
supila,abco,sun,2,0.695,0.99,8.892,-0.571,-0.968,0.81,92.43,6.664,0.082,0.071,1630.036,,,,,,,,,,1.6,2.010619298,21.885,0.2465,0.0909,0.011263422,10.88470603,2.711771177,30.38,32.45111111,32.45111111
supila,abco,sun,3,0.713,0.96,4.795,-0.365,-0.851,0.98,91.89,3.197,0.098,0.05,1298.755,,,,,,,,,,2.25,3.976078202,28.027,0.3271,0.09,0.011670889,7.048905624,3.634444444,30.38,32.45111111,32.45111111
supila,abco,sun,4,0.469,0.99,12.75,-0.793,-1.159,0.9,92.95,9.403,0.066,0.09,1447.21,,,,,,,,,,1.39,1.517467792,16.737,0.1779,0.0574,0.010629145,11.02955865,3.099303136,30.38,32.45111111,32.45111111
supila,abco,sun,5,,,,,,,,,,,,19.35,2.01,-0.026780711,0.979135414,-0.518206756,-0.163313119,52.8,47.8,41.6,,,,,,,,,30.38,32.45111111,32.45111111
supila,abco,sun,6,0.337,0.93,18.462,-0.436,-0.729,0.9,90.69,3.222,0.141,0.094,1402.847,,,,,,,,,,1.24,1.207628216,12.114,0.1341,0.0284,0.011069837,10.03123299,4.721830986,30.38,32.45111111,32.45111111
supila,abco,sun,7,,,,,,,,,,,,16.28,1.78,-0.018139778,0.99261127,-0.295315578,-0.118674243,58.7,51.3,43,,,,,,,,,30.38,32.45111111,32.45111111
supila,abco,sun,8,,,,,,,,,,,,,,,,,,57.3,49,39.4,,,,,,,,,30.38,32.45111111,32.45111111
supila,abco,sun,9,,,,,,,,,,,,,,,,,,50.4,47.3,43,,,,,,,,,30.38,32.45111111,32.45111111
supila,abco,sun,10,,,,,,,,,,,,20.35,2.06,-0.041735854,0.998580596,-0.849324632,-0.254829321,58.2,46.2,31.8,,,,,,,,,30.38,32.45111111,32.45111111
supila,cade,shade,1,,,,,,,,,,,,,,,,,,57.6,48.4,37,,,,,,,,,22.32,28.805,40.60222222
supila,cade,shade,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.32,28.805,40.60222222
supila,cade,shade,3,0.25,0.97,21.834,-0.455,-0.845,0.95,86.18,2.67,0.177,0.136,1425.843,,,,,,,,,,1.27,1.266768698,8.393,0.0962,0.0412,0.011461933,6.62551894,2.334951456,22.32,28.805,40.60222222
supila,cade,shade,4,0.461,0.96,12.755,-0.952,-1.606,1,80.15,4.168,0.13,0.161,1674.353,,,,,,,,,,1.9575,3.009493591,12.26,0.143,0.0922,0.011663948,4.073775082,1.550976139,22.32,28.805,40.60222222
supila,cade,shade,5,0.518,0.93,12.386,-0.861,-1.513,0.95,81.47,3.449,0.137,0.118,1287.448,,,,,,,,,,1.5225,1.820557851,18.214,0.172,0.0702,0.009443285,10.00462577,2.45014245,22.32,28.805,40.60222222
supila,cade,shade,6,,,,,,,,,,,,29.71,1.44,-0.024022093,0.920320899,-0.713696374,-0.438226489,67.5,53.3,35.7,,,,,,,,,22.32,28.805,40.60222222
supila,cade,shade,7,0.132,0.91,49.18,-0.867,-1.357,0.97,84.67,4.062,0.126,0.146,1175.735,,,,,,,,,,1.02,0.817128249,5.273,0.05,0.011,0.009482268,6.453087389,4.545454545,22.32,28.805,40.60222222
supila,cade,shade,8,0.164,0.92,23.981,-0.957,-1.521,0.98,80.45,3.757,0.142,0.195,1428.923,,,,,,,,,,1.31,1.347821788,5.132,0.0651,0.0183,0.012685113,3.807625047,3.557377049,22.32,28.805,40.60222222
supila,cade,shade,9,,,,,,,,,,,,23.48,1.23,-0.005892003,0.982423715,-0.138344234,-0.116428944,55.3,50.3,44.5,,,,,,,,,22.32,28.805,40.60222222
supila,cade,shade,10,,,,,,,,,,,,20.81,1.16,-0.053544494,0.999184473,-1.114260916,-1.05434086,,,,,,,,,,,,22.32,28.805,40.60222222
supila,cade,sun,1,0.42,0.69,19.023,-0.567,-1.199,0.99,79.48,1.072,0.198,0.125,1347.115,,,,,,,,,,1.25,1.22718463,13.753,0.1383,0.0194,0.010055988,11.20695261,7.128865979,34.22857143,32.45111111,32.45111111
supila,cade,sun,2,,,,,,,,,,,,,,,,,,52.7,48.8,44,,,,,,,,,34.22857143,32.45111111,32.45111111
supila,cade,sun,3,0.433,0.97,16.584,-0.988,-1.504,0.94,81.42,4.812,0.128,0.179,1572.696,,,,,,,,,,1.83,2.630219909,12.445,0.1343,0.0466,0.010791483,4.731543532,2.881974249,34.22857143,32.45111111,32.45111111
supila,cade,sun,4,,,,,,,,,,,,34.35,1.69,-0.033987497,0.986886419,-1.167470511,-0.520454333,59.8,51.8,42.8,,,,,,,,,34.22857143,32.45111111,32.45111111
supila,cade,sun,5,0.565,0.93,13.316,-0.429,-0.699,0.92,90.54,3.178,0.154,0.107,1612.795,,,,,,,,,,1.39,1.517467792,17.62,0.1828,0.0425,0.010374574,11.61144909,4.301176471,34.22857143,32.45111111,32.45111111
supila,cade,sun,6,-0.003,0.96,6.742,-1.02,-1.54,0.96,1701.97,-0.056,-10.844,-15.927,-323.226,,,,,,,,,,1.31,1.347821788,8.783,0.129,0.0316,0.014687464,6.516440138,4.082278481,34.22857143,32.45111111,32.45111111
supila,cade,sun,7,,,,,,,,,,,,,,,,,,55.4,53.2,50.2,,,,,,,,,34.22857143,32.45111111,32.45111111
supila,cade,sun,8,,,,,,,,,,,,34.35,1.68,-0.011800949,0.933745093,-0.405362612,-0.18286696,58,50.2,41.2,,,,,,,,,34.22857143,32.45111111,32.45111111
supila,cade,sun,9,0.368,0.98,13.078,-0.514,-0.931,0.84,87.11,2.868,0.157,0.081,1569.351,,,,,,,,,,1.875,2.761165418,11.35,0.158,0.0714,0.013920705,4.110583135,2.212885154,34.22857143,32.45111111,32.45111111
supila,cade,sun,10,,,,,,,,,,,,37.83,1.74,-0.019960241,0.975401562,-0.755095933,-0.317551196,58,52.2,44,,,,,,,,,34.22857143,32.45111111,32.45111111
supila,pila,shade,1,0.449,0.96,21.368,-0.495,-0.838,0.98,91.29,4.507,0.112,0.092,1728.7,,,,,,,,,,1.745,2.391557042,13.166,0.1079,0.0325,0.008195352,5.505200071,3.32,20.94,28.805,40.60222222
supila,pila,shade,2,,,,,,,,,,,,46.5,1.74,-0.007370113,0.874922066,-0.342710232,-0.144124792,52.6,47.2,41,,,,,,,,,20.94,28.805,40.60222222
supila,pila,shade,3,,,,,,,,,,,,23.49,1.82,-0.023585652,0.995504595,-0.554026963,-0.212960101,54.2,46.9,38.5,,,,,,,,,20.94,28.805,40.60222222
supila,pila,shade,4,0.399,0.99,8.071,-0.974,-1.608,0.98,82.55,5.667,0.108,0.141,1652.311,,,,,,,,,,1.7875,2.509469851,11.085,0.0963,0.0276,0.008687415,4.417267654,3.489130435,20.94,28.805,40.60222222
supila,pila,shade,5,0.391,0.99,18.382,-0.782,-1.565,0.98,75.2,3.088,0.159,0.129,1691.179,,,,,,,,,,2.1675,3.68984475,9.658,0.0764,0.0324,0.00791054,2.617454298,2.358024691,20.94,28.805,40.60222222
supila,pila,shade,6,,,,,,,,,,,,1.29,1.61,-0.009066318,0.970761688,-0.011695551,-0.005744855,52.8,46.8,40,2.44,4.675946506,,,,,,,20.94,28.805,40.60222222
