species,site,treat,tleaf
SEGI,SUWANEE,sun,32.4
SEGI,SUWANEE,sun,26.2
SEGI,SUWANEE,sun,33
SEGI,SUWANEE,sun,29.5
SEGI,SUWANEE,sun,36.4
SEGI,SUWANEE,sun,36.5
SEGI,SUWANEE,sun,34.2
SEGI,SUWANEE,sun,34.2
SEGI,SUWANEE,sun,31.6
SEGI,SUWANEE,sun,24.4
SEGI,SUWANEE,sun,41.4
SEGI,SUWANEE,sun,36.3
SEGI,SUWANEE,sun,40.9
SEGI,SUWANEE,sun,29.6
SEGI,SUWANEE,sun,44.3
SEGI,SUWANEE,sun,30.6
SEGI,SUWANEE,sun,32
ABCO,SUPILA,sun,26.5
ABCO,SUPILA,sun,30.1
ABCO,SUPILA,sun,33.4
ABCO,SUPILA,sun,28.2
ABCO,SUPILA,sun,33.7
PILA,SUPILA,sun,32.2
PILA,SUPILA,sun,32.7
PILA,SUPILA,sun,22.3
PILA,SUPILA,sun,30.3
PILA,SUPILA,sun,30
CADE,SUPILA,sun,33.1
CADE,SUPILA,sun,30.1
CADE,SUPILA,sun,32.9
CADE,SUPILA,sun,38.4
CADE,SUPILA,sun,35
CADE,SUPILA,sun,37.9
CADE,SUPILA,sun,32.2
SEGI,SUWANEE,shade,26.7
SEGI,SUWANEE,shade,30.5
SEGI,SUWANEE,shade,29.9
SEGI,SUWANEE,shade,26.7
SEGI,SUWANEE,shade,28.3
SEGI,SUWANEE,shade,25.3
SEGI,SUWANEE,shade,31.6
SEGI,SUWANEE,shade,30.7
SEGI,SUWANEE,shade,34.9
SEGI,SUWANEE,shade,23.7
SEGI,SUWANEE,shade,43
SEGI,SUWANEE,shade,28.8
SEGI,SUWANEE,shade,25.4
SEGI,SUWANEE,shade,29.4
SEGI,SUWANEE,shade,26
ABCO,SUPILA,shade,24
ABCO,SUPILA,shade,22.5
ABCO,SUPILA,shade,22.8
ABCO,SUPILA,shade,24.5
ABCO,SUPILA,shade,25.9
ABCO,SUPILA,shade,22.4
ABCO,SUPILA,shade,29
PILA,SUPILA,shade,18.4
PILA,SUPILA,shade,23.4
PILA,SUPILA,shade,24.1
PILA,SUPILA,shade,19.5
PILA,SUPILA,shade,19.3
CADE,SUPILA,shade,26.3
CADE,SUPILA,shade,24.1
CADE,SUPILA,shade,20.9
CADE,SUPILA,shade,19.3
CADE,SUPILA,shade,21
